id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
230,University of Mississippi Medical Center,MS,Healthcare Provider,7492,07/07/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
231,"Unconditional Love, Incorporated",FL,Healthcare Provider,643,07/07/2017,Unauthorized Access/Disclosure,Paper/Films,No,
232,"Peachtree Neurological Clinic, P.C.",GA,Healthcare Provider,176295,07/07/2017,Hacking/IT Incident,Network Server,No,
233,University of California Davis Health,CA,Healthcare Provider,14900,07/06/2017,Hacking/IT Incident,Email,No,
234,Walnut Place,TX,Healthcare Provider,5000,07/05/2017,Hacking/IT Incident,Network Server,No,
235,The Dermatology Center of Raleigh PA,NC,Healthcare Provider,3000,07/05/2017,Unauthorized Access/Disclosure,Email,No,
236,"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate",CO,Healthcare Provider,10143,07/03/2017,Hacking/IT Incident,Network Server,No,
237,Kennebunk Center for Dentistry ,ME,Healthcare Provider,1900,07/03/2017,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No,
238,White Blossom Care Center,CA,Healthcare Provider,800,06/30/2017,Unauthorized Access/Disclosure,Other,No,
239,Enterprise Services LLC,CO,Business Associate,822,06/30/2017,Unauthorized Access/Disclosure,"Network Server, Other",Yes,
240,Community Link Inc,WI,Health Plan,5524,06/30/2017,Hacking/IT Incident,Email,No,
241,California Pacific Orthopaedics and Sports Medicine,CA,Healthcare Provider,2263,06/30/2017,Theft,"Laptop, Paper/Films",No,
242,FastHealth Corporation,AL,Business Associate,9289,06/29/2017,Hacking/IT Incident,Network Server,Yes,
243,"Paul C. Gering, Jr., M.D.",OR,Healthcare Provider,2000,06/29/2017,Theft,Desktop Computer,No,
244,"Pediatric Healthcare Solutions, P.C.",NY,Healthcare Provider,6932,06/28/2017,Hacking/IT Incident,Network Server,No,
245,Enterprise Services LLC,IN,Business Associate,56075,06/27/2017,Unauthorized Access/Disclosure,"Network Server, Other",Yes,
246,GI Care for Kids Endoscopy Center,GA,Healthcare Provider,1700,06/27/2017,Hacking/IT Incident,Network Server,No,
247,Henry Ford Health System,MI,Healthcare Provider,596,06/26/2017,Theft,Paper/Films,No,
248,Southern Illinois Hospital Services,IL,Healthcare Provider,613,06/23/2017,Unauthorized Access/Disclosure,Other,No,
249,Pharma Medica Research Inc.,MO,Healthcare Provider,2718,06/23/2017,Hacking/IT Incident,Other,No,
250,Saint Thomas Rutherford Hospital,TN,Healthcare Provider,2837,06/22/2017,Improper Disposal,Paper/Films,No,
251,"Adams Industries, Inc.",NE,Health Plan,647,06/21/2017,Hacking/IT Incident,Network Server,No,
252,Aetna Inc.,CT,Health Plan,5002,06/20/2017,Unauthorized Access/Disclosure,Other,No,
253,"Cleveland Medical Associates, PLLC",TN,Healthcare Provider,22000,06/20/2017,Hacking/IT Incident,Network Server,No,
254,Torrance Memorial Medical Center,CA,Healthcare Provider,46632,06/19/2017,Hacking/IT Incident,Email,No,
255,Little River Healthcare,TX,Healthcare Provider,542,06/16/2017,Theft,Laptop,No,
256,"Airway Oxygen, Inc.",MI,Healthcare Provider,500000,06/16/2017,Hacking/IT Incident,Network Server,No,
257,"Cove Family and Sports Medicine, LLC",AL,Healthcare Provider,4300,06/12/2017,Hacking/IT Incident,Network Server,No,
258,SSM Health  (Dr. Syed Khader),MO,Healthcare Provider,836,06/09/2017,Theft,Other,No,
259,Southwest Community Health Center,CT,Healthcare Provider,6000,06/07/2017,Theft,"Desktop Computer, Laptop",No,
260,Toth Enterprises II d/b/a Victory Medical,TX,Healthcare Provider,2000,06/05/2017,Unauthorized Access/Disclosure,"Email, Paper/Films",No,
261,North Dakota Department of Human Services,ND,Health Plan,2452,06/01/2017,Improper Disposal,Paper/Films,No,
262,"LKM ENTERPRISES, INC.",OK,Healthcare Provider,3400,06/01/2017,Theft,"Desktop Computer, Laptop",No,
263,"N. Fred Eaglstein, D.O. d/b/a Dermatology and Laser Center",FL,Healthcare Provider,2000,05/30/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
264,"Sound Community Services, Inc.",CT,Healthcare Provider,1278,05/26/2017,Hacking/IT Incident,Email,No,
265,Beacon Health System,IN,Healthcare Provider,1239,05/26/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
266,UW Health,WI,Healthcare Provider,2036,05/25/2017,Hacking/IT Incident,Email,No,
267,"D. Andrew Loomis MD, Paula Schulze MD,Tammara Stefanelli MD, Christen Vu DO, Anja Crider MD",WA,Healthcare Provider,9000,05/24/2017,Hacking/IT Incident,Network Server,No,
268,"Neeley-Nemeth, LLP d/b/a Barton Oaks Dental Group",TX,Healthcare Provider,17090,05/18/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No,
269,Walnut Place,TX,Healthcare Provider,5000,05/12/2017,Hacking/IT Incident,Network Server,No,
270,New York City Health and Hospitals Corporation - Coney Island Hospital,NY,Healthcare Provider,3494,05/09/2017,Unauthorized Access/Disclosure,"Other, Paper/Films",No,
271,"Jones Family Practice, P.A.",NC,Healthcare Provider,742,05/05/2017,Unauthorized Access/Disclosure,Network Server,No,
272,Blue Cross and Blue Shield of Kansas City,MO,Health Plan,725,05/05/2017,Unauthorized Access/Disclosure,Other,No,
273,LSU Healthcare Network,LA,Healthcare Provider,2200,05/04/2017,Theft,Other Portable Electronic Device,No,
274,Capital Nephrology,MD,Healthcare Provider,4000,05/02/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
275,Nova Southeastern University,FL,Healthcare Provider,1086,05/02/2017,Theft,Other Portable Electronic Device,No,
276,Michagan Facial Aesthetic Surgeons d/b/a University Physician Group,MI,Healthcare Provider,3467,04/28/2017,Theft,Laptop,No,
277,"Diamond Institute for Fertility and Menopause, LLC",NJ,Healthcare Provider,14633,04/28/2017,Hacking/IT Incident,Network Server,No,
278,Harrisburg Endoscopy and Surgery Center,PA,Healthcare Provider,9092,04/28/2017,Hacking/IT Incident,Network Server,No,
279,Harrisburg Gastroenterology Ltd,PA,Healthcare Provider,93323,04/28/2017,Hacking/IT Incident,Network Server,No,
280,Spine Specialist,NJ,Healthcare Provider,600,04/28/2017,Theft,Laptop,No,
281,Atlantic Digestive Specialists  ,NH,Healthcare Provider,2081,04/21/2017,Hacking/IT Incident,Network Server,No,
282,Hill Country Memorial Hospital,TX,Healthcare Provider,8449,04/21/2017,Hacking/IT Incident,Email,No,
283,Lifespan Corporation,RI,Healthcare Provider,20431,04/21/2017,Theft,Laptop,No,
284,Behavioral Health Center,ME,Healthcare Provider,4229,04/21/2017,Hacking/IT Incident,Network Server,No,
285,"Valley Women's Health, S.C.",IL,Healthcare Provider,5155,04/19/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
286,Humana Inc [case # HU17001CC],KY,Health Plan,3831,04/18/2017,Hacking/IT Incident,Other,No,
287,"BioReference Laboratories, Inc.",NJ,Healthcare Provider,1772,04/14/2017,Improper Disposal,Paper/Films,No,
288,"MVP Health Care, Inc.",NY,Health Plan,951,04/14/2017,Unauthorized Access/Disclosure,Paper/Films,No,
289,Madison Street Provider Network,CO,Business Associate,9129,04/12/2017,Unauthorized Access/Disclosure,Paper/Films,Yes,
290,Cardiology Center of Acadiana,LA,Healthcare Provider,9681,04/07/2017,Hacking/IT Incident,Network Server,No,
291,Ashland Women's Health,KY,Healthcare Provider,19727,04/04/2017,Hacking/IT Incident,Network Server,No,
292,Memorial Healthcare,MI,Healthcare Provider,685,04/03/2017,Unauthorized Access/Disclosure,Other,No,
293,"Apex EDI, Inc.",UT,Business Associate,1132,03/31/2017,Hacking/IT Incident,Network Server,Yes,
294,"Skin Cancer Specialists, P.C.",GA,Healthcare Provider,3365,03/31/2017,Hacking/IT Incident,Network Server,No,
295,Washington University School of Medicine,MO,Healthcare Provider,80270,03/25/2017,Hacking/IT Incident,Email,No,
296,WellSpan Health,PA,Health Plan,732,03/23/2017,Unauthorized Access/Disclosure,Paper/Films,No,
297,"Specialty Dental Partners of Philadelphia, PLLC.- DBA Rich Orthodontics",PA,Healthcare Provider,960,03/23/2017,Theft,"Desktop Computer, Laptop",No,
298,"Urology Austin, PLLC",TX,Healthcare Provider,279663,03/22/2017,Hacking/IT Incident,Network Server,No,
299,UNC Health Care,NC,Healthcare Provider,1298,03/20/2017,Unauthorized Access/Disclosure,Paper/Films,No,
300,St. Charles Health System,OR,Healthcare Provider,2459,03/16/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
301,"Estill County Chiropractic, PLLC",KY,Healthcare Provider,5335,03/16/2017,Hacking/IT Incident,Network Server,No,
302,Local 693 Plumbers & Pipefitters Health & Welfare Fund,VT,Health Plan,1291,03/13/2017,Theft,Other Portable Electronic Device,No,
303,Metropolitan Urology Group,WI,,17634,03/10/2017,Hacking/IT Incident,Network Server,Yes,
304,St. Louis Children's Hospital,MO,Healthcare Provider,643,03/09/2017,Unauthorized Access/Disclosure,Email,No,
305,"Primary Care Specialists, Inc.",TN,Healthcare Provider,65000,03/09/2017,Hacking/IT Incident,Network Server,No,
306,American Home Patient,TN,Healthcare Provider,13861,03/06/2017,Theft,Desktop Computer,No,
307,VisionQuest Eyecare,IN,Healthcare Provider,85995,03/02/2017,Hacking/IT Incident,Network Server,No,
308,Commonwealth Health Corporation,KY,Healthcare Provider,697800,03/01/2017,Theft,Other,No,
309,VA St. Louis Health Care System,MO,Healthcare Provider,724,03/01/2017,Unauthorized Access/Disclosure,Paper/Films,No,
310,Vanderbilt University Medical Center,TN,Healthcare Provider,3247,02/24/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
311,North Carolina Department of Health and Human Services,NC,Health Plan,12731,02/23/2017,Unauthorized Access/Disclosure,Email,No,
312,Emory Healthcare ,GA,Healthcare Provider,79930,02/21/2017,Hacking/IT Incident,Other,No,
313,Chadron Community Hospital & Health Services,NE,Healthcare Provider,702,02/19/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
314,Emblem Health - GHI,NY,Health Plan,703,02/17/2017,Unauthorized Access/Disclosure,Paper/Films,No,
315,2020 On-Site Optometry,MA,Business Associate,15400,02/13/2017,Hacking/IT Incident,Network Server,Yes,
316,"Benesch, Friedlander, Coplan & Aronoff LLP ",OH,Business Associate,1134,02/10/2017,Theft,Paper/Films,Yes,
317,Mo. Dept. of Mental Health,MO,Healthcare Provider,5685,02/07/2017,Hacking/IT Incident,Email,No,
318,"Family Medicine East, Chartered",KS,Healthcare Provider,6800,02/03/2017,Theft,Desktop Computer,No,
319,Catalina Post-Acute Care and Rehabilitation,AZ,Healthcare Provider,2953,02/02/2017,Improper Disposal,Paper/Films,No,
320,The Affiliated Sante Group,MD,Healthcare Provider,550,01/31/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
321,Vertiv Co. Health & Welfare Plan,OH,Health Plan,955,01/31/2017,Unauthorized Access/Disclosure,Paper/Films,No,
322,Shiel Sexton,IN,Health Plan,710,01/27/2017,Unauthorized Access/Disclosure,Other,No,
323,Princeton Pain Management,NJ,Healthcare Provider,4668,01/27/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record",No,
324,MultiCare Health System ,WA,Healthcare Provider,1249,01/26/2017,Hacking/IT Incident,Email,No,
325,Multnomah County,OR,Healthcare Provider,1700,01/20/2017,Unauthorized Access/Disclosure,Email,No,
326,Sentara Healthcare,VA,Healthcare Provider,5454,01/16/2017,Hacking/IT Incident,Network Server,No,
327,St. Luke's Medical Center,ND,Healthcare Provider,600,01/16/2017,Hacking/IT Incident,Network Server,No,
328,"University of Maryland Orthopaedic Associates, P.A.",MD,Healthcare Provider,1320,01/13/2017,Hacking/IT Incident,Email,No,
329,SSM Dean Medical Group,WI,Healthcare Provider,4800,01/10/2017,Unauthorized Access/Disclosure,Email,No,
330,"State of New Hampshire, Department of Health and Human Services",NH,Healthcare Provider,15000,12/30/2016,Hacking/IT Incident,Desktop Computer,No,
331,Horizon Healthcare Services Inc. doing business as Horizon Blue Cross Blue Shield of New Jersey and its affiliates,NJ,Health Plan,55700,12/30/2016,Unauthorized Access/Disclosure,Paper/Films,No,
332,Susan M Hughes Center,NJ,Healthcare Provider,11400,12/27/2016,Hacking/IT Incident,Network Server,No,
333,"Brandywine Pediatrics, P.A.",DE,Healthcare Provider,26873,12/23/2016,Hacking/IT Incident,Network Server,No,
334,Waiting Room Solutions Limited Liability Limited Partnership,NY,Business Associate,700,12/23/2016,Unauthorized Access/Disclosure,Email,Yes,
335,Humana Inc. [case #HU16004F3],KY,Health Plan,3674,12/19/2016,Unauthorized Access/Disclosure,Paper/Films,No,
336,Southcentral Foundation,AK,Healthcare Provider,14719,12/16/2016,Hacking/IT Incident,Email,No,
337,Fairbanks Hospital,IN,Healthcare Provider,12994,12/16/2016,Unauthorized Access/Disclosure,Network Server,No,
338,"East Valley Community Health Center, Inc.",CA,Healthcare Provider,65000,12/15/2016,Hacking/IT Incident,Network Server,No,
339,Quest Diagnostics,NJ,Healthcare Provider,34055,12/12/2016,Hacking/IT Incident,Network Server,No,
340,"Appalachian Gastroenterology, P.A.",NC,Healthcare Provider,11000,12/10/2016,Hacking/IT Incident,Network Server,No,
341,Dr. Melissa D. Selke,NJ,Healthcare Provider,4277,12/05/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record",No,
342,Advanced Fertility Center of Chicago,IL,Healthcare Provider,19000,12/01/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,
343,Managed Health Services,IN,Health Plan,5500,11/29/2016,Theft,"Email, Laptop",No,
344,Aetna Inc.,CT,Business Associate,18854,11/28/2016,Loss,Other,Yes,
345,Emblem Health - GHI,NY,Health Plan,81122,11/22/2016,Unauthorized Access/Disclosure,"Network Server, Other, Paper/Films",No,
346,UnitedHealth Group Single Affiliated Covered Entity,MN,Health Plan,1408,11/22/2016,Unauthorized Access/Disclosure,Other,No,
347,Peachtree Orthopaedic Clinic,GA,Healthcare Provider,531000,11/18/2016,Hacking/IT Incident,Network Server,No,
348,"Watsonville Chiropractic, Inc.",CA,Healthcare Provider,829,11/17/2016,Unauthorized Access/Disclosure,Network Server,No,
349,Vascular Surgical Associates,GA,Healthcare Provider,36496,11/10/2016,Hacking/IT Incident,Network Server,No,
350,"Consultants in Neurological Surgery, LLP",FL,Healthcare Provider,800,11/08/2016,Unauthorized Access/Disclosure,Paper/Films,No,
351,VA Eastern Colorado Health Care System,CO,Healthcare Provider,2130,11/08/2016,Unauthorized Access/Disclosure,Email,No,
352,"Kinetorehab Physical Therapy, PLLC",NY,Healthcare Provider,665,11/04/2016,Theft,Laptop,No,
353,"Dr. Dennis T. Myers, D.D.S., P.A.",MO,Healthcare Provider,3364,10/24/2016,Hacking/IT Incident,Network Server,No,
354,"Singh and Arora Oncology Hematology, P.C.",MI,Healthcare Provider,16000,10/21/2016,Hacking/IT Incident,Network Server,No,
355,"MGA Home Healthcare Colorado, Inc.",AZ,Healthcare Provider,3119,10/19/2016,Loss,Laptop,No,
356,"Gibson Insurance Agency, Inc.",IN,Business Associate,7242,10/14/2016,Theft,Laptop,Yes,
357,Peabody Retirement Community,IN,Healthcare Provider,1466,10/14/2016,Hacking/IT Incident,"Email, Network Server",No,
358,Mercy Hospital and Medical Center,IL,Healthcare Provider,547,10/13/2016,Loss,Paper/Films,No,
359,Warren Clinic,OK,Healthcare Provider,2938,10/07/2016,Hacking/IT Incident,Network Server,No,
360,University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,6923,09/30/2016,Unauthorized Access/Disclosure,Paper/Films,No,
361,"Fred's Stores of Tennessee, Incorporated",TN,Healthcare Provider,9624,09/29/2016,Theft,Laptop,No,
362,New Jersey Spine Center,NJ,Healthcare Provider,28000,09/22/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
363,"University Gastroenterology, Inc.",RI,Healthcare Provider,15478,09/08/2016,Hacking/IT Incident,Network Server,No,
364,Orleans Medical Clinic,IN,Healthcare Provider,6890,08/19/2016,Hacking/IT Incident,Network Server,No,
365,New York State Office of Mental Health,NY,Healthcare Provider,21880,08/15/2016,Hacking/IT Incident,Network Server,No,
366,Bon Secours Health System Incorporated,MD,Healthcare Provider,651971,08/12/2016,Unauthorized Access/Disclosure,Network Server,No,
367,"Newkirk Products, Inc.",NY,Business Associate,3466120,08/09/2016,Hacking/IT Incident,Network Server,Yes,
368,"Professional Dermatology Care, P.C.",VA,Healthcare Provider,13237,08/09/2016,Hacking/IT Incident,Network Server,No,
369,"Prosthetic & Orthotic Care, Inc.",MO,Healthcare Provider,23015,08/07/2016,Hacking/IT Incident,Network Server,No,
370,The Carle Foundation,IL,Healthcare Provider,1185,08/04/2016,Unauthorized Access/Disclosure,Network Server,No,
371,Banner Health,AZ,Healthcare Provider,3620000,08/03/2016,Hacking/IT Incident,"Network Server, Other",No,
372,"Jefferson Medical Associates, P.A.",MS,Healthcare Provider,10401,07/29/2016,Hacking/IT Incident,Network Server,No,
373,"Athens Orthopedic Clinic, P.A.",GA,Healthcare Provider,201000,07/29/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No,
374,Midwest Orthopedic Pain and Spine,MO,Healthcare Provider,29153,07/26/2016,Hacking/IT Incident,Network Server,No,
375,Neurology Physicians LLC,MD,Healthcare Provider,4831,07/20/2016,Hacking/IT Incident,Other,No,
376,Kaiser Permanente Northern California,CA,Health Plan,1136,07/12/2016,Theft,Other Portable Electronic Device,No,
377,The Ambulatory Surgery Center at St. Mary,PA,Healthcare Provider,13000,07/07/2016,Hacking/IT Incident,Network Server,No,
378,Planned Parenthood of the Heartland,IA,Healthcare Provider,2506,07/01/2016,Unauthorized Access/Disclosure,Paper/Films,No,
379,"Allergy, Asthma & Immunology of the Rockies, PC ",CO,Healthcare Provider,6851,06/17/2016,Hacking/IT Incident,Network Server,No,
380,North Ottawa Medical Group,MI,Healthcare Provider,22000,06/09/2016,Unauthorized Access/Disclosure,Network Server,No,
381,The Vein Doctor,MO,Healthcare Provider,3000,06/03/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
382,Stamford Podiatry Group .P.C,CT,Healthcare Provider,40491,05/25/2016,Hacking/IT Incident,Network Server,No,
383,California Correctional Health Care Services,CA,Healthcare Provider,400000,05/15/2016,Theft,Laptop,No,
384,"Northwest Oncology & Hematology, S.C. ",IL,Healthcare Provider,1625,05/11/2016,Unauthorized Access/Disclosure,Email,No,
385,Family Medicine of Weston,FL,Healthcare Provider,500,05/11/2016,Hacking/IT Incident,Electronic Medical Record,No,
